RoleName,LastUsedDate
add_tags_all_resources-role-zcp73tr5,2024-05-03T01:57:22+00:00
Amazon_EventBridge_Pipe_PipeSQS10Mensagens_2426d1dc,2024-03-30T20:09:17+00:00
Amazon_EventBridge_Scheduler_LAMBDA_ebs_noAttached,2024-02-11T19:06:02+00:00
AWSServiceRoleForAPIGateway,Never
AWSServiceRoleForAutoScaling,2024-01-11T12:53:05+00:00
AWSServiceRoleForAWSServiceCatalogAppRegistry,2024-03-24T23:04:17+00:00
AWSServiceRoleForECS,2024-01-11T12:51:49+00:00
AWSServiceRoleForElasticLoadBalancing,2024-01-14T19:52:55+00:00
AWSServiceRoleForOrganizations,Never
AWSServiceRoleForSupport,Never
AWSServiceRoleForTrustedAdvisor,Never
backup_dynamodb-role-eopu41n2,2024-01-28T18:25:57+00:00
change_schedule-role-v7vw1zdw,2024-06-26T00:36:06+00:00
desbribe_ec2_details-role-jtvubyqy,2024-06-09T16:11:18+00:00
documentDb-TF-role-mh7pmq04,Never
ec2-role-helxnzyk,Never
ec2-snapshot-role-aqmou3vw,2024-01-27T14:29:24+00:00
ecsInstanceRole,2024-01-11T12:52:10+00:00
ecsTaskExecutionRole,2024-01-11T12:49:41+00:00
list_snap_batch-role-g51rgn5z,2024-04-18T09:57:13+00:00
role-DocDB_EB_Scheduler_AutoStart,Never
role_docdbLambdaPolicyDoc,Never
start_ec2-role-rmqnwaey,2024-03-29T22:00:59+00:00
teste-add-map-040224-role-fxqwxfis,2024-05-02T23:29:30+00:00
